seller_id;seller_reputation+power_seller_status;seller_reputation+level_id;years_antiquity;seller_reputation+metrics+sales+period;n_items;n_subcategories;sold_items;mean_intallments;q10_discount;q50_discount;q90_discount;total_transactions;completed_transactions;canceled_transactions;negative_rating;neutral_rating;positive_rating;total_claims;total_delayed_shipments;total_cancellations;gold_pro;gold_special;label
1066358;Not_medal;5_green;16.59958932238193;60 days;1;1;2;12.0;0.0;0.0;0.0;1183;1111;72;0.01;0.02;0.97;0;0;0;1.0;0.0;9
3637758;gold;5_green;16.372347707049965;60 days;1;1;5;36.0;0.0;0.0;0.0;3083;2930;153;0.04;0.0;0.96;3;0;0;0.0;1.0;0
4944181;Not_medal;5_green;11.356605065023956;60 days;1;1;0;36.0;9.999999999999998;9.999999999999998;9.999999999999998;357;324;33;0.09;0.0;0.91;0;2;0;0.0;1.0;1
6818277;silver;5_green;16.216290212183434;60 days;1;1;5;36.0;0.0;0.0;0.0;364;355;9;0.0;0.21;0.79;1;0;0;0.0;1.0;5
8019088;gold;5_green;21.347022587268995;60 days;2;1;51;36.0;0.5000060556229147;2.5000302781145733;4.5000545006062325;5502;5070;432;0.06;0.04;0.9;10;16;0;0.0;1.0;0
13017487;gold;5_green;11.477070499657769;60 days;1;1;500;36.0;0.0;0.0;0.0;7442;7205;237;0.01;0.01;0.98;4;2;1;0.0;1.0;0
19576477;platinum;5_green;15.964407939767282;60 days;10;2;94;36.0;0.0;0.0;0.0;18570;17430;1140;0.08;0.06;0.86;90;30;10;0.0;1.0;4
20081454;Not_medal;4_light_green;15.912388774811772;60 days;4;1;15;36.0;0.0;2.500000000000002;5.000000000000004;3512;3228;284;0.02;0.01;0.97;0;0;0;0.0;1.0;8
25344303;Not_medal;5_green;13.201916495550993;60 days;1;1;1;36.0;35.0;35.0;35.0;530;508;22;0.02;0.0;0.98;0;2;0;0.0;1.0;1
26207029;platinum;5_green;13.152635181382614;60 days;2;1;505;36.0;0.0;0.0;0.0;40416;38560;1856;0.04;0.07;0.89;96;66;16;0.0;1.0;4
29242781;silver;5_green;19.66324435318275;60 days;2;1;4;36.0;0.0;0.0;0.0;1452;1410;42;0.01;0.02;0.97;0;0;0;0.0;1.0;5
29920482;platinum;5_green;15.88227241615332;60 days;3;1;259;36.0;3.0000000000000004;15.000000000000002;18.999999999999996;22212;20979;1233;0.05000000000000001;0.03;0.92;21;18;3;0.0;1.0;4
32109084;Not_medal;5_green;12.799452429842573;365 days;1;1;5;36.0;5.000000000000004;5.000000000000004;5.000000000000004;172;157;15;0.14;0.0;0.86;1;5;0;0.0;1.0;3
38452655;Not_medal;3_yellow;15.723477070499658;60 days;2;1;10;12.0;0.0;0.0;0.0;3156;2836;320;0.08;0.03;0.89;12;16;0;1.0;0.0;9
42298595;gold;5_green;15.493497604380561;60 days;4;2;510;36.0;0.0;0.0;0.0;19076;18204;872;0.05;0.03;0.92;36;68;40;0.0;1.0;0
44309601;Not_medal;4_light_green;19.290896646132786;365 days;1;1;1;36.0;0.0;0.0;0.0;42;31;11;0.05;0.07;0.88;0;0;0;0.0;1.0;8
44664184;silver;5_green;15.299110198494182;60 days;4;3;3;36.0;0.0;0.0;0.0;8028;7360;668;0.04;0.01;0.95;0;0;0;0.0;1.0;5
44702939;Not_medal;5_green;15.293634496919918;60 days;1;1;5;12.0;0.0;0.0;0.0;83;80;3;0.0;1.0;0.0;1;1;0;1.0;0.0;9
45759375;Not_medal;5_green;12.303901437371664;365 days;3;1;10;36.0;0.0;0.0;0.0;261;225;36;0.03;0.02;0.9499999999999998;3;3;0;0.0;1.0;3
